Date,Coal,Oil,Gas,Renewables
1974.00,981.10,1327.70,189.20,204.00
1975.00,981.20,1339.70,211.20,206.20
1976.00,1047.70,1410.60,256.20,199.30
1977.00,1070.40,1438.30,283.00,201.20
1978.00,1103.00,1440.90,314.90,199.60
1979.00,1168.90,1411.60,362.60,193.60
1980.00,1169.40,1358.60,416.00,206.00
1981.00,1229.20,1339.00,462.00,210.70
1982.00,1194.90,1262.70,466.20,203.50
1983.00,1228.30,1306.70,490.00,200.90
1984.00,1334.20,1306.60,523.30,212.90
1985.00,1316.40,1304.90,570.70,214.90
1986.00,1401.50,1315.80,588.40,214.50
1987.00,1430.70,1369.30,610.50,218.40
1988.00,1548.40,1433.20,627.80,228.70
1989.00,1576.10,1452.70,688.10,233.00
1990.00,1623.20,1440.90,655.40,236.30
1991.00,1640.30,1444.50,678.60,221.90
1992.00,1642.60,1491.70,707.00,243.80
1993.00,1661.40,1532.50,736.80,252.30
1994.00,1710.10,1606.30,793.10,258.80
1995.00,1775.90,1663.90,797.00,267.20
1996.00,1852.60,1660.60,818.40,280.10
1997.00,1959.50,1680.10,859.30,278.20
1998.00,2022.70,1698.20,887.40,278.30
1999.00,2052.50,1722.90,921.50,274.10
2000.00,2081.50,1701.50,959.90,268.90
2001.00,2127.80,1750.00,974.70,244.50
2002.00,2118.70,1801.90,942.10,276.50
2003.00,2221.70,1810.50,974.00,279.10
2004.00,2254.50,1869.00,996.40,280.20
2005.00,2292.70,1969.70,1000.90,284.50
2006.00,2316.60,1988.30,1131.90,288.30
2007.00,2300.20,1981.80,1168.70,286.40
2008.00,2351.00,2000.30,1252.90,239.90
2009.00,2224.80,2057.80,1257.80,282.60
2010.00,2123.90,2211.60,1274.20,294.60
2011.00,2074.70,2183.80,1338.50,293.80
2012.00,1930.90,2276.20,1376.50,333.50
2013.00,1845.80,2293.90,1407.20,344.20
2014.00,1907.20,2233.80,1420.00,347.70
2015.00,1954.90,2276.70,1464.40,360.20
2016.00,1930.00,2315.10,1496.70,379.10
2017.00,1847.30,2400.30,1557.30,382.50
2018.00,1801.60,2407.30,1586.50,400.20
2019.00,1706.60,2241.20,1647.20,418.80
